"gender","current_rank","player_id","player_name","country","sheet_base_points","point_rows","active_rows","expired_rows","singles_rows","doubles_rows","counting_singles","counting_doubles","missing_drop_date_rows","bad_ranking_point_rows","status","notes","points_breakdown_url"
"Girls","7","jana-kovackova","Jana Kovackova","CZE","1939.75","17","15","2","8","7","6","6","0","0","OK","","https://www.itftennis.com/en/players/jana-kovackova/800661515/cze/jt/s/itf-points-breakdown/"
"Girls","8","xinran-sun","Xinran Sun","CHN","1968","22","22","0","11","11","6","6","0","0","OK","","https://www.itftennis.com/en/players/xinran-sun/800677732/chn/jt/s/itf-points-breakdown/"
"Girls","9","kristina-penickova","Kristina Penickova","USA","1905.5","12","12","0","7","5","6","5","0","0","Revisar planilha","Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/kristina-penickova/800719373/usa/jt/s/itf-points-breakdown/"
"Girls","10","julia-stusek","Julia Stusek","GER","1675.5","14","12","2","7","5","6","5","0","0","Revisar planilha","Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/julia-stusek/800579453/ger/jt/s/itf-points-breakdown/"
"Girls","11","nauhany-vitoria-leme-da-silva","Nauhany Vitoria Leme Da Silva","BRA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/nauhany-vitoria-leme-da-silva/800695060/bra/jt/s/itf-points-breakdown/"
"Girls","12","lilli-tagger","Lilli Tagger","AUT","0","0","0","0","0","0","0","0","0","0","Revisar perfil ITF","Resolver URL do perfil ITF antes de buscar o breakdown. Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.",""
"Girls","13","sol-ailin-larraya-guidi","Sol Ailin Larraya Guidi","ARG","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/sol-ailin-larraya-guidi/800659876/arg/jt/s/itf-points-breakdown/"
"Girls","14","anastasija-cvetkovic","Anastasija Cvetkovic","SRB","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/anastasija-cvetkovic/800598140/srb/jt/s/itf-points-breakdown/"
"Girls","15","kanon-sawashiro","Kanon Sawashiro","JPN","0","0","0","0","0","0","0","0","0","0","Revisar perfil ITF","Resolver URL do perfil ITF antes de buscar o breakdown. Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.",""
"Girls","16","charo-esquiva-banuls","Charo Esquiva Banuls","ESP","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/charo-esquiva-banuls/800672253/esp/jt/s/itf-points-breakdown/"
"Girls","17","ida-wobker","Ida Wobker","GER","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/ida-wobker/800671481/ger/jt/s/itf-points-breakdown/"
"Girls","18","paola-pinera-celorio","Paola Pinera Celorio","ESP","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/paola-pinera-celorio/800656554/esp/jt/s/itf-points-breakdown/"
"Girls","19","mariella-thamm","Mariella Thamm","GER","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/mariella-thamm/800601474/ger/jt/s/itf-points-breakdown/"
"Girls","20","mariia-makarova","Mariia Makarova","RUS","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/mariia-makarova/800644962/rus/jt/s/itf-points-breakdown/"
"Girls","21","janae-preston","Janae Preston","USA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/janae-preston/800758791/usa/jt/s/itf-points-breakdown/"
"Girls","22","giulia-safina-popa","Giulia Safina Popa","ROU","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/giulia-safina-popa/800640357/rou/jt/s/itf-points-breakdown/"
"Girls","23","anna-pushkareva","Anna Pushkareva","RUS","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/anna-pushkareva/800636696/rus/jt/s/itf-points-breakdown/"
"Girls","24","thea-frodin","Thea Frodin","USA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/thea-frodin/800702416/usa/jt/s/itf-points-breakdown/"
"Girls","25","yushan-shao","Yushan Shao","CHN","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/yushan-shao/800731351/chn/jt/s/itf-points-breakdown/"
"Girls","26","alexandra-malova","Alexandra Malova","RUS","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/alexandra-malova/800635479/rus/jt/s/itf-points-breakdown/"
"Girls","27","maaya-rajeshwaran-revathi","Maaya Rajeshwaran Revathi","IND","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/maaya-rajeshwaran-revathi/800632131/ind/jt/s/itf-points-breakdown/"
"Girls","28","felitsata-dorofeeva-rybas","Felitsata Dorofeeva-Rybas","RUS","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/felitsata-dorofeeva-rybas/800721825/rus/jt/s/itf-points-breakdown/"
"Girls","29","jordyn-hazelitt","Jordyn Hazelitt","USA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/jordyn-hazelitt/800646432/usa/jt/s/itf-points-breakdown/"
